id;NazwaTypPozycja;WartoscPozycja;Ilosc
1;Wariant:select:0;152 cm:0;77
1;Wariant:select:1;122 cm:1;77
1;Wariant:select:2;92 cm:2;77
1;Wariant:select:3;182 cm:3;77
3;Wariant:select:0;122 cm:0;16
3;Wariant:select:1;92 cm:1;16
3;Wariant:select:2;182 cm:2;16
3;Wariant:select:3;152 cm:3;16
4;Wariant:select:0;152 cm:0;76
4;Wariant:select:1;92 cm:1;76
4;Wariant:select:2;182 cm:2;76
4;Wariant:select:3;122 cm:3;76
13;Wariant:select:0;92 cm:0;85
13;Wariant:select:1;122 cm:1;85
13;Wariant:select:2;152 cm:2;85
13;Wariant:select:3;182 cm:3;85
21;Wariant:select:0;122 cm:0;9
21;Wariant:select:1;92 cm:1;9
21;Wariant:select:2;152 cm:2;9
21;Wariant:select:3;182 cm:3;9
