0|Kolor:select:0|Czerwony:0|3
0|Kolor:select:1|B³êkitny:1|8
0|Wielkoœæ:select:0|Du¿y:0|6
0|Wielkoœæ:select:1|Ma³y:1|9
1|Kolor:select:0|Burgundowy:0|5
1|Kolor:select:1|B³êkitny:1|7
1|Kolor:select:2|Niebieski:2|9
1|Wielkoœæ:select:0|Ma³y:0|6
1|Wielkoœæ:select:1|Œredni:1|2
2|Kolor:select:0|Lazurowy:0|6
2|Kolor:select:1|Zielony:1|7
2|Kolor:select:2|Pomarañczowy:2|5
2|Wielkoœæ:select:0|Ma³y:0|2
2|Wielkoœæ:select:1|Du¿y:1|7
3|Kolor:select:0|Burgundowy:0|7
3|Wielkoœæ:select:0|Bardzo ma³y:0|8
3|Wielkoœæ:select:1|Bardzo du¿y:1|6
4|Kolor:select:0|Burgundowy:0|4
4|Kolor:select:1|Czerwony:1|3
4|Kolor:select:2|Niebieski:2|4
4|Wielkoœæ:select:0|Bardzo du¿y:0|10
5|Kolor:select:0|B³êkitny:0|6
5|Wielkoœæ:select:0|Œredni:0|5
6|Kolor:select:0|Niebieski:0|8
6|Kolor:select:1|Pomarañczowy:1|8
6|Wielkoœæ:select:0|Bardzo ma³y:0|2
6|Wielkoœæ:select:1|Ma³y:1|10
7|Kolor:select:0|Niebieski:0|6
7|Wielkoœæ:select:0|Ma³y:0|7
8|Kolor:select:0|Zielony:0|10
8|Kolor:select:1|B³êkitny:1|9
8|Wielkoœæ:select:0|Bardzo ma³y:0|7
8|Wielkoœæ:select:1|Ma³y:1|7
9|Kolor:select:0|Lazurowy:0|5
9|Wielkoœæ:select:0|Du¿y:0|7
9|Wielkoœæ:select:1|Bardzo du¿y:1|2
10|Kolor:select:0|Burgundowy:0|10
10|Wielkoœæ:select:0|Bardzo du¿y:0|2
11|Kolor:select:0|Burgundowy:0|4
11|Kolor:select:1|Niebieski:1|3
11|Wielkoœæ:select:0|Ma³y:0|7
12|Kolor:select:0|Niebieski:0|9
12|Kolor:select:1|Burgundowy:1|6
12|Kolor:select:2|Pomarañczowy:2|7
12|Wielkoœæ:select:0|Bardzo du¿y:0|6
13|Kolor:select:0|Czerwony:0|2
13|Kolor:select:1|Burgundowy:1|4
13|Wielkoœæ:select:0|Ma³y:0|9
14|Kolor:select:0|Zielony:0|3
14|Kolor:select:1|Niebieski:1|10
14|Wielkoœæ:select:0|Œredni:0|2
15|Kolor:select:0|Burgundowy:0|8
15|Kolor:select:1|Czerwony:1|5
15|Wielkoœæ:select:0|Du¿y:0|8
16|Kolor:select:0|Niebieski:0|8
16|Kolor:select:1|Czerwony:1|8
16|Wielkoœæ:select:0|Œredni:0|7
17|Kolor:select:0|Pomarañczowy:0|2
17|Wielkoœæ:select:0|Ma³y:0|6
17|Wielkoœæ:select:1|Bardzo ma³y:1|8
18|Kolor:select:0|Lazurowy:0|3
18|Wielkoœæ:select:0|Bardzo ma³y:0|5
19|Kolor:select:0|Niebieski:0|1
19|Kolor:select:1|Zielony:1|3
19|Wielkoœæ:select:0|Bardzo du¿y:0|2
20|Kolor:select:0|Zielony:0|8
20|Wielkoœæ:select:0|Du¿y:0|4
21|Kolor:select:0|Czerwony:0|5
21|Kolor:select:1|Pomarañczowy:1|10
21|Kolor:select:2|Zielony:2|1
21|Wielkoœæ:select:0|Du¿y:0|6
22|Kolor:select:0|Czerwony:0|2
22|Wielkoœæ:select:0|Ma³y:0|7
22|Wielkoœæ:select:1|Œredni:1|4
23|Kolor:select:0|Lazurowy:0|6
23|Wielkoœæ:select:0|Bardzo du¿y:0|4
23|Wielkoœæ:select:1|Bardzo ma³y:1|7
24|Kolor:select:0|Pomarañczowy:0|10
24|Kolor:select:1|Lazurowy:1|10
24|Wielkoœæ:select:0|Ma³y:0|5
25|Kolor:select:0|Czerwony:0|2
25|Kolor:select:1|Pomarañczowy:1|4
25|Kolor:select:2|Burgundowy:2|10
25|Wielkoœæ:select:0|Du¿y:0|1
26|Kolor:select:0|Czerwony:0|7
26|Kolor:select:1|Burgundowy:1|1
26|Kolor:select:2|Niebieski:2|7
26|Wielkoœæ:select:0|Bardzo du¿y:0|6
27|Kolor:select:0|Zielony:0|2
27|Kolor:select:1|Czerwony:1|2
27|Wielkoœæ:select:0|Du¿y:0|8
28|Kolor:select:0|Burgundowy:0|2
28|Kolor:select:1|Pomarañczowy:1|2
28|Wielkoœæ:select:0|Du¿y:0|7
28|Wielkoœæ:select:1|Œredni:1|4
29|Kolor:select:0|Niebieski:0|10
29|Wielkoœæ:select:0|Du¿y:0|6
30|Kolor:select:0|Zielony:0|3
30|Wielkoœæ:select:0|Bardzo du¿y:0|4
31|Kolor:select:0|Burgundowy:0|2
31|Kolor:select:1|Zielony:1|9
31|Kolor:select:2|Niebieski:2|2
31|Wielkoœæ:select:0|Bardzo ma³y:0|9
32|Kolor:select:0|Pomarañczowy:0|10
32|Kolor:select:1|Niebieski:1|7
32|Kolor:select:2|Czerwony:2|9
32|Wielkoœæ:select:0|Œredni:0|2
33|Kolor:select:0|Czerwony:0|10
33|Kolor:select:1|B³êkitny:1|7
33|Kolor:select:2|Zielony:2|4
33|Wielkoœæ:select:0|Ma³y:0|5
34|Kolor:select:0|B³êkitny:0|7
34|Wielkoœæ:select:0|Bardzo du¿y:0|8
35|Kolor:select:0|B³êkitny:0|2
35|Kolor:select:1|Lazurowy:1|6
35|Kolor:select:2|Pomarañczowy:2|8
35|Wielkoœæ:select:0|Ma³y:0|5
35|Wielkoœæ:select:1|Bardzo du¿y:1|6
36|Kolor:select:0|Zielony:0|6
36|Kolor:select:1|Pomarañczowy:1|5
36|Kolor:select:2|Czerwony:2|7
36|Wielkoœæ:select:0|Bardzo ma³y:0|6
36|Wielkoœæ:select:1|Du¿y:1|6
37|Kolor:select:0|Czerwony:0|4
37|Kolor:select:1|B³êkitny:1|5
37|Kolor:select:2|Zielony:2|5
37|Wielkoœæ:select:0|Œredni:0|8
38|Kolor:select:0|Zielony:0|7
38|Kolor:select:1|Czerwony:1|7
38|Wielkoœæ:select:0|Bardzo ma³y:0|10
39|Kolor:select:0|Pomarañczowy:0|1
39|Kolor:select:1|Lazurowy:1|5
39|Wielkoœæ:select:0|Bardzo ma³y:0|9
39|Wielkoœæ:select:1|Œredni:1|1
40|Kolor:select:0|Burgundowy:0|7
40|Kolor:select:1|Niebieski:1|2
40|Wielkoœæ:select:0|Œredni:0|7
40|Wielkoœæ:select:1|Bardzo ma³y:1|2
41|Kolor:select:0|Lazurowy:0|10
41|Kolor:select:1|Burgundowy:1|5
41|Wielkoœæ:select:0|Du¿y:0|7
41|Wielkoœæ:select:1|Bardzo ma³y:1|2
42|Kolor:select:0|Niebieski:0|1
42|Wielkoœæ:select:0|Du¿y:0|2
42|Wielkoœæ:select:1|Bardzo ma³y:1|9
43|Kolor:select:0|Pomarañczowy:0|3
43|Kolor:select:1|Niebieski:1|1
43|Kolor:select:2|Burgundowy:2|9
43|Wielkoœæ:select:0|Bardzo ma³y:0|4
44|Kolor:select:0|B³êkitny:0|2
44|Kolor:select:1|Zielony:1|6
44|Wielkoœæ:select:0|Du¿y:0|2
44|Wielkoœæ:select:1|Bardzo du¿y:1|1
45|Kolor:select:0|Pomarañczowy:0|4
45|Kolor:select:1|Burgundowy:1|6
45|Kolor:select:2|Czerwony:2|5
45|Wielkoœæ:select:0|Du¿y:0|9
45|Wielkoœæ:select:1|Bardzo ma³y:1|2
46|Kolor:select:0|Niebieski:0|5
46|Kolor:select:1|Lazurowy:1|8
46|Wielkoœæ:select:0|Du¿y:0|1
46|Wielkoœæ:select:1|Bardzo ma³y:1|6
47|Kolor:select:0|Niebieski:0|4
47|Kolor:select:1|Lazurowy:1|9
47|Kolor:select:2|B³êkitny:2|8
47|Wielkoœæ:select:0|Œredni:0|10
47|Wielkoœæ:select:1|Bardzo ma³y:1|7
48|Kolor:select:0|B³êkitny:0|6
48|Kolor:select:1|Niebieski:1|8
48|Kolor:select:2|Burgundowy:2|8
48|Wielkoœæ:select:0|Œredni:0|1
49|Kolor:select:0|Niebieski:0|6
49|Kolor:select:1|Lazurowy:1|2
49|Kolor:select:2|B³êkitny:2|9
49|Wielkoœæ:select:0|Du¿y:0|9
50|Kolor:select:0|Zielony:0|1
50|Kolor:select:1|Burgundowy:1|3
50|Kolor:select:2|Czerwony:2|1
50|Wielkoœæ:select:0|Bardzo du¿y:0|1
50|Wielkoœæ:select:1|Du¿y:1|5
51|Kolor:select:0|Zielony:0|10
51|Wielkoœæ:select:0|Ma³y:0|7
